Millenium,2023,2022,2021
Fatturato,42.741,36.519,18.265
Acquisti consumati,28.095,27.807,10.317
Spese per il personale,3.777,2.717,2.352
Risultato d'esercizio,2.848,499,197
Imposte sugli utili,898,144,42
Utile netto,1.627,224,73
Utile netto: quota del gruppo,1.627,224,
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
