Millenium,2023,2022,2021,2020
Fatturato,20.070,19.513,15.045,10.140
Acquisti consumati,12.740,12.887,10.681,62
Spese per il personale,2.503,1.876,1.475,1.198
Risultato d'esercizio,1.162,778,-807,-02
Imposte sugli utili,207,35,0,6
Utile netto,636,367,-1.012,-493
Utile netto: quota del gruppo,584,349,-1.041,-044
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP
