Millenium,2023,2022,2021,2020,2019
Fatturato,66,138,277,429,11
Acquisti consumati,316,328,117,141,116
Spese per il personale,497,330,141,111,524
Risultato d'esercizio,-4.796,-1.306,-604,224,-1.116
Imposte sugli utili,0,0,0,2,-18
Utile netto,-4.796,-1.308,-604,222,-1.098
Utile netto: quota del gruppo,-4.797,-1.308,-604,222,-1.098
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
