Millenium,2023,2022,2021,2020,2019
Fatturato,21.151,21.023,18.153,16.367,13.948.518
Acquisti consumati,354,261,85,62,59.013
Spese per il personale,9.815,8.928,7.010,5.677,3.440.005
Risultato d'esercizio,1.441,1.507,1.478,813,1.119.892
Imposte sugli utili,433,241,320,514,35.750
Utile netto,197,886,779,409,946.058
Utile netto: quota del gruppo,161,679,182,149,923.500
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
