Millenium,2023,2022,2021,2020,2019
Fatturato,110.846,83.622,26.995,15.658,35.052
Acquisti consumati,1.537,1.459,1.229,580,862
Spese per il personale,8.851,6.286,4.310,3.207,4.580
Risultato d'esercizio,5.412,3.874,493,-3.424,-418
Imposte sugli utili,2.505,1.566,-107,-273,-370
Utile netto,1.902,1.814,429,-3.404,-389
Utile netto: quota del gruppo,1.644,1.512,437,-3.398,-430
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
