Millenium,2023,2022,2021,2020,2019
Fatturato,35.787,31.706,26.287,19.291,33.704
Acquisti consumati,21.586,19.729,17.626,11.773,20.462
Spese per il personale,4.206,4.162,3.235,2.898,2.963
Risultato d'esercizio,104,-1.449,-1.143,-1.843,1.352
Imposte sugli utili,128,-181,-143,-317,357
Utile netto,-525,-1.244,-901,-1.764,939
Utile netto: quota del gruppo,-386,-1.051,-803,-1.590,1.049
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
