Millenium,2023,2022,2021,2020,2019
Fatturato,1.928.620,1.917.438,1.551.818,1.415.201,1.434.995
Proventi dalle attività ordinarie,1.990.949,1.991.009,1.597.828,1.439.260,1.470.547
Risultato operativo,268.483,197.758,203.816,107.984,114.438
Costo dell'indebitamento finanziario netto,10.166,11.202,9.827,13.102,13.764
Risultato delle aziende associate al bilancio di Gruppo,4.376,5.567,7.452,4.997,3.856
Risultato netto delle attività dismesse,,,,,-87
Utile netto,261.586,217.387,183.968,85.369,82.125
Utile netto: quota del gruppo,131.065,111.283,95.400,44.782,44.092
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
