Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,1.035.490,914.239,1.078.997,732.984,746.597
Oneri generali d'esercizio,408.329,363.542,303.627,254.383,243.026
Risultato di gestione lordo,627.161,550.697,740.407,450.640,479.565
Costo del rischio,1.861,-10.375,-25.918,-10.495,-10.159
Risultato di gestione,629.022,540.322,714.489,440.145,469.406
Risultato delle aziende associate al bilancio di Gruppo,-3.961,19.381,6.333,-794,-17
Risultato corrente ante imposte,625.061,559.703,727.847,439.351,452.845
Utile netto,458.013,427.001,612.080,388.673,386.250
Utile netto: quota del gruppo,434.567,406.461,605.457,381.690,370.011
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
