Millenium,2023,2022,2021,2020,2019
Fatturato,14.453,25.503,11.213,6.507,14.351
Proventi dalle attività ordinarie,14.453,25.503,11.213,6.507,14.351
Risultato operativo,9.527,11.562,11.319,6.409,3.948
Costo dell'indebitamento finanziario netto,2.520,4.120,3.267,2.200,1.843
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,5.639,8.156,7.868,5.036,2.670
Utile netto: quota del gruppo,4.926,7.009,7.080,4.752,2.670
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
