Millenium,2023,2022,2021,2020,2019
Fatturato,595.603,370,599,360,12.836
Proventi dalle attività ordinarie,595.603,370,599,360,12.836
Risultato operativo,7.223,-42.149,-16.587,-14.257,-14.999
Costo dell'indebitamento finanziario netto,6.591,10.756,9.287,9.579,9.639
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,-1.100,0,,,28.365
Utile netto,10.648,-53.785,-24.935,-25.807,3.969
Utile netto: quota del gruppo,10.648,-53.785,-24.935,-25.807,3.969
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
