Millenium,2022,2021,2020,2019,2018
Fatturato,467.679,410.566,457.452,573.424,621.456
Proventi dalle attività ordinarie,467.679,410.566,457.452,573.424,621.456
Risultato operativo,-99.290,-236.710,-197.194,-67.061,-15.329
Costo dell'indebitamento finanziario netto,12.251,10.111,10.266,12.455,0
Risultato delle aziende associate al bilancio di Gruppo,157,88,592,-1.107,-501
Risultato netto delle attività dismesse,,,,,
Utile netto,-123.693,-254.313,-209.885,-89.682,-39.897
Utile netto: quota del gruppo,-123.693,-254.313,-209.885,-89.682,-39.897
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
