Millenium,2023,2022,2021,2020,2019
Fatturato,50.279.584,45.435.684,33.197.304,25.387.776,39.334.034
Proventi dalle attività ordinarie,50.279.584,45.435.684,33.197.304,25.387.776,39.334.034
Risultato operativo,2.547.639,1.705.274,13.738,-451.229,409.883
Costo dell'indebitamento finanziario netto,70.117,117.762,182.754,-204.331,-204.355
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.436.652,851.396,-321.573,-649.234,86.978
Utile netto: quota del gruppo,1.436.652,851.396,-321.573,-649.234,86.978
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
