Millenium,2023,2022,2021,2020,2019
Fatturato,37.724,31.646,38.827,23.464,35.260
Proventi dalle attività ordinarie,37.724,31.646,38.827,23.464,
Risultato operativo,-4.881,1.818,1.315,1.821,
Costo dell'indebitamento finanziario netto,1.468,826,749,814,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-6.157,952,906,963,1.891
Utile netto: quota del gruppo,-6.157,952,906,963,1.891
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,Local GAAP
