Millenium,2023,2022,2021,2020,2019
Fatturato,103.519,129.888,85.488,62.695,45.344
Acquisti consumati,99.317,84.256,55.270,51.241,31.048
Spese per il personale,12.045,11.264,5.407,2.624,1.874
Risultato d'esercizio,-46.501,13.478,13.886,8.578,6.789
Imposte sugli utili,-3.965,4.507,4.204,2.330,1.904
Utile netto,-44.880,7.659,8.819,5.955,4.750
Utile netto: quota del gruppo,-40.989,10.348,8.854,5.955,4.750
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
