Millenium,2023,2022,2021,2020,2019
Fatturato,66.489,54.062,17.038,12.561,7.068
Acquisti consumati,3.851,1.791,1.115,569,822
Spese per il personale,29.056,24.714,6.600,4.331,2.201
Risultato d'esercizio,-7.474,208,4.611,5.364,2.381
Imposte sugli utili,-595,-3.156,-648,-6,459
Utile netto,-8.898,2.473,5.186,5.282,1.852
Utile netto: quota del gruppo,-10.705,2.209,5.186,5.282,1.852
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
