Millenium,2023,2022,2021,2020,2019
Fatturato,29.257,25.261,18.415,16.346,44.908
Proventi dalle attività ordinarie,29.257,25.261,18.415,16.953,45.449
Risultato operativo,5.714,3.103,1.033,-11.435,2.182
Costo dell'indebitamento finanziario netto,1.500,992,82,688,-1.639
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,3.299,1.274,705,-12.222,2.640
Utile netto: quota del gruppo,1.140,-2.090,-571,-12.622,1.574
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
