Millenium,2023,2022,2021,2020,2019
Fatturato,5.442.453,4.054.382,2.812,1.421,2.371
Acquisti consumati,837.517,1.791.860,612,1.003,126
Spese per il personale,826.002,343.703,164,71,81
Risultato d'esercizio,-1.744.232,-781.333,-6.893,-6.593,-3.997
Imposte sugli utili,79.524,161.527,-1.791,111,98
Utile netto,-1.934.854,-1.192.780,-5.298,-7.035,-4.099
Utile netto: quota del gruppo,-1.934.854,-1.192.780,-5.298,-7.035,-4.099
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
