Millenium,2023,2022,2021
Fatturato,41.643.768,30.735.188,25.929.554
Acquisti consumati,9.885.649,8.382.263,7.095.678
Spese per il personale,10.036.858,8.165.428,6.538.886
Risultato d'esercizio,10.592.045,6.379.989,4.124.882
Imposte sugli utili,1.814.891,1.457.730,1.269.489
Utile netto,8.511.089,4.755.536,2.877.715
Utile netto: quota del gruppo,8.511.089,4.755.536,2.877.715
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
