Millenium,2023,2022,2021,2020,2019
Fatturato,195.029,176.099,176.476,161.607,162.140
Proventi dalle attività ordinarie,202.986,183.712,176.476,161.607,162.140
Risultato operativo,21.390,19.195,18.148,15.009,10.402
Costo dell'indebitamento finanziario netto,3.354,2.609,3.111,3.111,3.543
Risultato delle aziende associate al bilancio di Gruppo,0,-24,75,29,24
Risultato netto delle attività dismesse,,,0,156.899,-243.153
Utile netto,13.157,11.533,10.138,165.531,-239.150
Utile netto: quota del gruppo,13.141,11.534,10.170,165.592,-172.782
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
