Millenium,2023,2022,2021,2020,2019
Fatturato,600.428,645.931,448.680,364.187,405.898
Proventi dalle attività ordinarie,650.314,708.605,469.238,383.628,421.893
Risultato operativo,28.009,37.343,31.761,25.974,28.033
Costo dell'indebitamento finanziario netto,7.032,673,573,549,611
Risultato delle aziende associate al bilancio di Gruppo,-6,-150,0,0,
Risultato netto delle attività dismesse,0,3.548,-2.041,-1.179,
Utile netto,11.220,31.806,44.861,18.284,18.790
Utile netto: quota del gruppo,10.710,30.753,44.471,17.948,18.566
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
