Millenium,2023,2022,2021
Fatturato,6.055.606,4.354.941,2.208.793
Proventi dalle attività ordinarie,7.133.466,4.684.415,
Risultato operativo,762.050,639.140,
Costo dell'indebitamento finanziario netto,103.265,39.223,
Risultato delle aziende associate al bilancio di Gruppo,,,
Risultato netto delle attività dismesse,,,
Utile netto,646.596,483.903,115.138
Utile netto: quota del gruppo,646.596,483.903,115.138
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,Local GAAP
