Millenium,2023,2022
Fatturato,59.041,41.509
Acquisti consumati,35.081,26.169
Spese per il personale,3.794,3.293
Risultato d'esercizio,11.392,3.094
Imposte sugli utili,3.083,914
Utile netto,7.080,2.081
Utile netto: quota del gruppo,7.080,2.081
Chiusura esercizio fiscale,2023-12-31,2022-12-31
Durata esercizio fiscale (mesi),12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP
