Millenium,2023,2022,2021,2020,2019
Fatturato,41.855,50.678,22.784,7.197,8.239
Acquisti consumati,20.114,36.326,15.590,6.929,6.733
Spese per il personale,2.544,2.121,1.519,1.164,957
Risultato d'esercizio,6.683,10.018,3.369,-1.057,-542
Imposte sugli utili,1.399,2.383,698,-265,-204
Utile netto,3.743,7.163,2.478,-963,-441
Utile netto: quota del gruppo,3.743,7.163,2.478,-963,-441
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
