Millenium,2023,2022,2021,2020,2019
Fatturato,960.288,852.991,785.150,663.408,395.396
Proventi dalle attività ordinarie,960.288,852.991,785.150,663.408,395.396
Risultato operativo,508.734,415.473,354.750,290.700,219.752
Costo dell'indebitamento finanziario netto,27.178,34.426,34.533,5.068,18.449
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,339.497,293.340,191.396,156.667,139.314
Utile netto: quota del gruppo,339.497,293.340,191.396,156.667,139.314
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
