Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,3.172.546,3.002.740,1.518.047,926.981,813.711
Oneri generali d'esercizio,3.999.125,2.792.617,1.070.292,534.975,616.793
Risultato di gestione lordo,-826.579,210.123,68.703,216.691,41.101
Costo del rischio,-48.616,7.556,-26.851,-6.723,216
Risultato di gestione,-875.195,217.679,41.852,209.968,41.317
Risultato delle aziende associate al bilancio di Gruppo,-14.391,3.281,1.441,-212,-598
Risultato corrente ante imposte,-889.586,220.960,43.293,209.756,40.719
Utile netto,-1.002.761,141.906,39.221,129.308,136.086
Utile netto: quota del gruppo,-1.005.989,138.995,37.729,127.926,135.166
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
