Millenium,2023,2022,2021,2020,2019
Fatturato,59.257.749,61.104.520,37.228.280,20.935.119,22.648.926
Acquisti consumati,63.939.143,39.189.420,18.821.554,12.715.282,10.533.229
Spese per il personale,13.009.164,8.459.801,5.645.749,3.300.741,2.421.830
Risultato d'esercizio,8.302.733,5.750.173,2.193.235,2.362.819,1.860.852
Imposte sugli utili,2.228.775,1.858.586,593.950,847.210,1.055.070
Utile netto,4.127.796,3.357.669,1.159.996,1.161.292,714.229
Utile netto: quota del gruppo,4.127.796,3.357.669,1.159.996,1.161.292,714.229
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
