Millenium,2023,2022,2021,2020,2019
Fatturato,3.043.086,3.126.940,3.221.587,2.351.257,2.101.138
Proventi dalle attività ordinarie,3.075.904,3.158.433,3.221.587,2.351.257,2.101.138
Risultato operativo,329.628,263.538,386.930,262.006,210.923
Costo dell'indebitamento finanziario netto,-2.160,13.984,6.309,5.249,4.118
Risultato delle aziende associate al bilancio di Gruppo,,,-813,3.465,922
Risultato netto delle attività dismesse,,,,,
Utile netto,250.412,179.843,311.749,200.133,161.005
Utile netto: quota del gruppo,250.377,177.428,311.098,200.133,161.005
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
