Millenium,2023,2022,2021,2020
Fatturato,50.529,53.122,40.042,30.232
Acquisti consumati,16.509,19.800,16.471,12.058
Spese per il personale,9.991,8.826,7.989,7.222
Risultato d'esercizio,6.741,8.907,4.185,573
Imposte sugli utili,1.727,2.185,962,117
Utile netto,5.235,6.828,3.338,251
Utile netto: quota del gruppo,5.214,6.804,3.329,255
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP
