Millenium,2023,2022,2021,2020,2019
Fatturato,188.347,150.171,165.548,63.532,52.211
Proventi dalle attività ordinarie,192.985,151.809,167.313,65.944,53.432
Risultato operativo,11.522,13.608,12.811,364,410
Costo dell'indebitamento finanziario netto,910,484,-24,-15,-454
Risultato delle aziende associate al bilancio di Gruppo,,,0,,
Risultato netto delle attività dismesse,,,,,
Utile netto,3.827,14.542,12.234,-652,105
Utile netto: quota del gruppo,1.043,11.618,12.234,-981,121
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
