Millenium,2023,2022,2021,2020,2019
Fatturato,56.419,57.271,38.018,26.186,28.687
Acquisti consumati,29.892,35.628,23.301,12.452,15.159
Spese per il personale,8.417,8.002,5.814,3.872,4.116
Risultato d'esercizio,5.436,5.139,3.855,3.046,3.415
Imposte sugli utili,1.306,1.441,1.016,632,767
Utile netto,3.922,3.611,3.180,2.285,2.583
Utile netto: quota del gruppo,3.922,3.611,3.180,2.285,2.583
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
