Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,392.231,380.210,271.941,209.340,204.623
Oneri generali d'esercizio,193.171,183.250,168.377,86.414,79.524
Risultato di gestione lordo,199.060,196.960,93.481,117.406,120.038
Costo del rischio,-8.593,-16.440,474,-4.128,-5.562
Risultato di gestione,190.467,180.520,93.955,113.278,114.476
Risultato delle aziende associate al bilancio di Gruppo,-267,288,195,0,
Risultato corrente ante imposte,234.999,331.202,196.658,123.714,121.710
Utile netto,171.662,232.048,197.372,91.073,93.157
Utile netto: quota del gruppo,171.662,232.048,197.372,91.073,93.157
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
