Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,3.687,3.791,3.469,2.899,2.713
Oneri generali d'esercizio,3.481,3.696,3.496,3.021,2.690
Risultato di gestione lordo,206,95,-233,-304,-210
Costo del rischio,-75,-46,0,-13,-31
Risultato di gestione,131,49,-233,-317,-241
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,131,49,-233,-317,-241
Utile netto,83,10,-196,-240,41
Utile netto: quota del gruppo,83,10,-196,-240,41
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
