Millenium,2023,2022,2021,2020,2019
Fatturato,60.525,51.429,44.240,33.924,49.011
Proventi dalle attività ordinarie,63.525,59.319,44.240,33.924,49.011
Risultato operativo,4.635,3.724,885,-11.436,1.745
Costo dell'indebitamento finanziario netto,3.574,2.563,2.425,2.066,1.824
Risultato delle aziende associate al bilancio di Gruppo,0,0,-65,-1.067,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.246,892,-880,-10.140,311
Utile netto: quota del gruppo,-6,429,-1.439,-10.271,54
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
