Millenium,2023,2022,2021,2020,2019
Fatturato,251.812,206.853,194.850,171.955.007,161.613.263
Proventi dalle attività ordinarie,252.907,208.320,195.245,176.952.194,161.613.263
Risultato operativo,1.066,-1.011,5.034,9.484.560,8.148.060
Costo dell'indebitamento finanziario netto,3.926,2.029,685,476.378,476.691
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-3.522,-9.501,-1.427,13.364.228,-2.790.264
Utile netto: quota del gruppo,-3.522,-9.501,-1.427,13.364.228,-2.790.264
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
