Millenium,2023,2022,2021
Fatturato,60.572.456,80.802.281,61.972.718
Acquisti consumati,44.855.511,53.068.048,44.383.475
Spese per il personale,4.793.467,4.792.587,4.824.650
Risultato d'esercizio,-1.255.893,5.516.645,2.167.521
Imposte sugli utili,-1.363.017,-281.708,123.825
Utile netto,-590.747,5.572.205,1.793.888
Utile netto: quota del gruppo,-590.747,5.572.205,1.793.888
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
