Millenium,2023,2022,2021,2020,2019
Fatturato,16.499,12.301,11.060,7.086,8.497
Acquisti consumati,6.375,4.572,3.401,1.918,2.779
Spese per il personale,3.893,2.988,2.550,2.076,2.268
Risultato d'esercizio,4.051,2.201,3.080,1.323,1.682
Imposte sugli utili,1.076,533,814,239,398
Utile netto,3.397,1.652,2.251,1.068,1.270
Utile netto: quota del gruppo,3.397,1.652,2.251,1.068,1.270
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
