Millenium,2023,2022,2021,2020,2019
Fatturato,47.310,44.770,42.269,45.412,52.907
Proventi dalle attività ordinarie,49.450,47.042,45.179,46.990,53.360
Risultato operativo,5.212,3.849,4.540,1.334,4.338
Costo dell'indebitamento finanziario netto,3.933,2.829,3.159,2.964,2.983
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,0,-1,83
Utile netto,556,443,570,-1.921,598
Utile netto: quota del gruppo,556,443,570,-1.921,598
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
