Millenium,2023,2022,2021,2020,2019
Fatturato,33.545,35.604,26.250,13.440,44.117
Proventi dalle attività ordinarie,33.545,35.604,26.250,13.440,44.117
Risultato operativo,1.521,5.621,3.384,-3.000,6.626
Costo dell'indebitamento finanziario netto,,106,86,162,279
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,2.055,4.367,3.558,-2.127,5.223
Utile netto: quota del gruppo,2.055,4.367,3.558,-2.127,5.223
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
