Millenium,2023,2022,2021,2020,2019
Fatturato,118.284,97.227,81.085,76.044,73.574
Acquisti consumati,72.112,56.398,44.740,40.637,39.518
Spese per il personale,13.763,12.676,11.022,11.386,11.281
Risultato d'esercizio,8.567,6.257,5.771,5.096,5.185
Imposte sugli utili,1.672,1.085,857,696,743
Utile netto,5.126,3.571,3.161,2.514,2.484
Utile netto: quota del gruppo,5.123,3.569,3.159,2.513,2.483
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
