Millenium,2023,2022,2021,2020,2019
Risultato della gestione del portafoglio (titoli di partecipazioni e immobilizzazioni),0,0,0,0,0
Risultato di gestione di tesoreria,0,0,0,0,0
Fatturato,45.923,49.939,564,871,636
Proventi degli investimenti immobiliari,,,,0,0
Altri proventi dall'attività,,,,5,33
Proventi dalle attività ordinarie,45.923,49.939,564,876,669
Risultato operativo,4.549,5.064,-69,51,-282
Costo dell'indebitamento finanziario netto,322,358,1,4,7
Risultato delle aziende associate al bilancio di Gruppo,,,,0,0
Risultato netto delle attività dismesse,,,,0,0
Utile netto,2.969,3.356,-103,15,-416
Utile netto: quota del gruppo,2.482,2.858,-103,15,-416
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
