Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,3.272.915,2.577.998,2.854.879,2.815.184,3.404.603
Oneri generali d'esercizio,2.049.395,3.253.570,2.401.645,2.339.960,2.467.381
Risultato di gestione lordo,1.223.520,-675.572,251.584,239.092,656.005
Costo del rischio,452.171,6.655,-293.632,-1.717.742,-685.998
Risultato di gestione,1.675.691,-668.917,-42.048,-1.478.650,-29.993
Risultato delle aziende associate al bilancio di Gruppo,83.608,94.061,106.578,,
Risultato corrente ante imposte,1.706.508,-605.129,258.164,-1.347.229,53.591
Utile netto,2.051.625,-178.509,309.331,-1.686.636,-1.033.142
Utile netto: quota del gruppo,2.051.781,-178.361,309.507,-1.686.507,-1.033.011
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
