Millenium,2023,2022,2021,2020,2019
Fatturato,37.784,36.876,26.065,16.765,18.637
Acquisti consumati,16.049,16.242,12.535,7.890,8.258
Spese per il personale,10.106,9.294,7.733,5.168,5.271
Risultato d'esercizio,2.174,1.305,-715,-1.013,682
Imposte sugli utili,345,333,-140,-297,-6
Utile netto,887,432,-837,-946,503
Utile netto: quota del gruppo,887,432,-837,-946,503
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
