Millenium,2023,2022,2021,2020,2019
Fatturato,2.984.217,2.602.890,2.046.103,1.440.409,1.627.704
Proventi dalle attività ordinarie,2.984.217,2.602.890,2.046.103,1.440.409,1.627.704
Risultato operativo,893.839,774.547,579.220,368.821,491.799
Costo dell'indebitamento finanziario netto,20.994,22.736,20.276,22.264,20.508
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,611.902,606.706,393.553,300.366,358.685
Utile netto: quota del gruppo,611.931,606.697,393.533,300.351,358.685
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
