Millenium,2023,2022,2021,2020,2019
Fatturato,19.527,17.118,643,633,2.239
Acquisti consumati,5,10,,,37
Spese per il personale,746,826,384,416,726
Risultato d'esercizio,-152,-680,-1.344,-1.957,-1.206
Imposte sugli utili,-1.404,-199,0,0,51
Utile netto,1.170,-616,-1.383,-1.993,-1.265
Utile netto: quota del gruppo,1.170,-616,-1.383,-1.993,-1.265
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
