Millenium,2023,2022,2021,2020,2019
Fatturato,28.606,24.366,23.837,21.239,45.783
Proventi dalle attività ordinarie,28.606,24.366,23.837,21.239,45.783
Risultato operativo,-1.648,-4.924,-1.580,-5.735,-3.469
Costo dell'indebitamento finanziario netto,0,0,0,0,587
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-1.473,5.753,-3.496,-5.952,-4.477
Utile netto: quota del gruppo,-1.307,5.967,-3.202,-5.708,-4.118
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
