Millenium,2023,2022,2021,2020,2019
Fatturato,785.002,822.425,742.199,578.789,705.872
Proventi dalle attività ordinarie,785.002,822.425,742.199,578.789,705.872
Risultato operativo,24.169,50.749,45.721,6.223,29.644
Costo dell'indebitamento finanziario netto,-526,385,1.594,2.130,2.031
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,12.483,30.296,34.195,2.455,13.002
Utile netto: quota del gruppo,12.483,30.248,34.018,2.531,13.027
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
