Millenium,2023,2022,2021,2020,2019
Fatturato,210.019,201.314,178.969,121.106,122.203
Proventi dalle attività ordinarie,217.297,202.519,178.969,121.106,125.653
Risultato operativo,-91.356,-5.740,17.719,19.920,26.686
Costo dell'indebitamento finanziario netto,3.726,-2.804,5.690,2.392,-2.219
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-99.884,1.562,12.347,18.115,22.327
Utile netto: quota del gruppo,-99.647,1.634,12.396,18.159,21.917
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
