Millenium,2023,2022,2021,2020,2019
Fatturato,13.528,12.836,9.118,8.189,5.856
Proventi dalle attività ordinarie,13.884,13.652,9.718,8.743,5.856
Risultato operativo,674,170,363,46,934
Costo dell'indebitamento finanziario netto,469,306,252,97,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-78,-289,17,-55,698
Utile netto: quota del gruppo,-133,-309,-131,-72,698
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
