Millenium,2023,2022,2021,2020,2019
Fatturato,30.883,27.802,24.861,21.829,21.012
Acquisti consumati,2.146,2.326,1.066,915,627
Spese per il personale,19.336,17.745,16.392,14.848,14.559
Risultato d'esercizio,2.322,1.755,1.784,1.414,1.139
Imposte sugli utili,656,505,525,347,362
Utile netto,1.467,981,1.082,903,571
Utile netto: quota del gruppo,1.467,981,1.082,903,571
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
