Millenium,2023,2022,2021,2020,2019
Fatturato,222.551,198.796,166.835,137.137,146.296
Proventi dalle attività ordinarie,223.825,199.795,167.709,137.930,147.323
Risultato operativo,53.964,42.572,34.188,25.200,27.181
Costo dell'indebitamento finanziario netto,69,27,94,105,130
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,40.828,31.918,25.321,18.975,21.690
Utile netto: quota del gruppo,40.828,31.918,25.321,18.975,21.690
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
