Millenium,2023,2022,2021,2020,2019
Fatturato,113.194,83.422,78.268,68.232,57.460
Acquisti consumati,19.757,15.926,16.450,17.083,4.651
Spese per il personale,33.563,28.191,25.830,24.965,23.644
Risultato d'esercizio,7.912,3.397,361,-669,-2.320
Imposte sugli utili,2.658,1.101,396,121,175
Utile netto,4.362,625,-719,-1.349,-2.842
Utile netto: quota del gruppo,4.048,617,-720,-1.227,-2.732
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
