Millenium,2023,2022,2021,2020,2019
Fatturato,47.388,43.735,42.045,35.786,31.219
Proventi dalle attività ordinarie,47.388,43.735,42.045,35.786,31.219
Risultato operativo,-562,1.546,1.964,1.446,2.719
Costo dell'indebitamento finanziario netto,640,448,270,173,337
Risultato delle aziende associate al bilancio di Gruppo,0,-1.831,0,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-330,-348,1.303,1.222,2.037
Utile netto: quota del gruppo,-275,-403,1.301,1.224,2.041
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
