Millenium,2023,2022,2021,2020,2019
Fatturato,404.187,310.770,313.464,259.386,219.935
Proventi dalle attività ordinarie,404.187,310.770,313.464,259.386,219.935
Risultato operativo,63.101,66.542,68.964,63.095,50.772
Costo dell'indebitamento finanziario netto,14.100,4.079,1.752,894,-786
Risultato delle aziende associate al bilancio di Gruppo,129,46,-78,435,
Risultato netto delle attività dismesse,,,,,
Utile netto,35.361,47.529,17.839,130.682,40.645
Utile netto: quota del gruppo,34.691,46.875,16.347,128.454,40.645
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
