Millenium,2023,2022,2021,2020,2019
Fatturato,15.305,159.679,12.359,13.404,16.995
Proventi dalle attività ordinarie,16.258,160.651,12.359,13.404,16.995
Risultato operativo,-1.947,41.079,-6.563,-6.772,-422
Costo dell'indebitamento finanziario netto,-320,-185,5.064,5.227,6.752
Risultato delle aziende associate al bilancio di Gruppo,5.294,750,-167,178,-97
Risultato netto delle attività dismesse,2.274,77,,,
Utile netto,-1.743,29.165,-9.786,-12.081,-7.368
Utile netto: quota del gruppo,-1.743,29.148,-9.785,-12.064,-6.987
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
