Millenium,2023,2022,2021,2020,2019
Fatturato,318.622,352.006,324.592,269.117,351.403
Proventi dalle attività ordinarie,329.362,363.572,333.113,279.603,361.467
Risultato operativo,-27.119,1.220,9.169,-24.565,25.102
Costo dell'indebitamento finanziario netto,9.689,3.978,397,252,421
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-31.990,-9.056,12.126,-23.357,12.005
Utile netto: quota del gruppo,-32.144,-9.044,12.126,-21.397,11.693
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
