Millenium,2023,2022,2021,2020,2019
Fatturato,33.677,28.621,19.555,9.194,6.758
Proventi dalle attività ordinarie,34.627,29.569,19.802,9.349,6.812
Risultato operativo,4.891,2.983,3.613,946,145
Costo dell'indebitamento finanziario netto,617,338,126,31,31
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,2.228,867,3.164,615,61
Utile netto: quota del gruppo,2.211,743,3.191,613,100
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
