Millenium,2023,2022,2021,2020,2019
Fatturato,650.247,544.852,420.418,331.620,327.358
Proventi dalle attività ordinarie,650.247,544.852,420.418,331.620,327.358
Risultato operativo,104.400,87.311,64.457,46.712,46.363
Costo dell'indebitamento finanziario netto,6.711,1.813,1.474,1.204,1.076
Risultato delle aziende associate al bilancio di Gruppo,613,2.360,508,208,177
Risultato netto delle attività dismesse,,,,,
Utile netto,74.473,64.799,49.088,35.117,35.047
Utile netto: quota del gruppo,70.942,62.124,49.059,35.112,35.019
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
