Millenium,2023,2022,2021,2020,2019
Fatturato,2.021.128,2.126.127,1.709.572,1.376.767,1.590.735
Proventi dalle attività ordinarie,2.021.128,2.126.127,1.709.572,1.376.767,1.590.735
Risultato operativo,160.847,143.679,97.750,66.445,95.256
Costo dell'indebitamento finanziario netto,66.878,38.830,37.960,39.353,38.947
Risultato delle aziende associate al bilancio di Gruppo,-772,-892,623,504,919
Risultato netto delle attività dismesse,,,,,
Utile netto,54.874,63.898,35.424,15.806,22.974
Utile netto: quota del gruppo,19.082,27.087,12.267,9.754,7.889
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
