Millenium,2023,2022,2021,2020,2019
Fatturato,43.272,36.148,4.931,3.857.973,6.149.496
Acquisti consumati,29.041,25.475,3.883,3.084.911,4.775.311
Spese per il personale,6.993,6.197,1.062,569.274,612.573
Risultato d'esercizio,-11.486,-3.842,-1.417,22.668,192.793
Imposte sugli utili,104,887,-494,4.763,12.040
Utile netto,-12.107,-3.233,-941,8.648,177.310
Utile netto: quota del gruppo,-11.939,-3.098,-941,8.648,177.310
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
