Millenium,2023,2022,2021,2020,2019
Fatturato,1.139.420,919.708,712.179,544.013,607.761
Proventi dalle attività ordinarie,1.141.852,921.861,722.233,546.785,608.587
Risultato operativo,187.406,134.412,77.036,-14.818,83.376
Costo dell'indebitamento finanziario netto,17.623,2.194,11.994,12.875,11.899
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,123.809,87.205,56.295,-32.069,53.083
Utile netto: quota del gruppo,114.617,80.599,53.322,-33.216,52.553
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
