Millenium,2023,2022,2021,2020,2019
Fatturato,571.806,684.074,569.701,436.602,548.955
Proventi dalle attività ordinarie,571.806,684.074,569.701,436.602,548.955
Risultato operativo,-8.859,37.561,21.482,5.929,17.389
Costo dell'indebitamento finanziario netto,11.750,6.336,6.463,7.381,6.054
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-25.849,29.151,10.670,595,9.005
Utile netto: quota del gruppo,-25.849,29.151,10.670,595,9.005
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
