Millenium,2023,2022,2021,2020,2019
Fatturato,22.629,23.114,20.974,13.529,9.030
Proventi dalle attività ordinarie,23.352,24.301,20.974,13.529,9.030
Risultato operativo,1.727,3.130,3.691,2.175,575
Costo dell'indebitamento finanziario netto,404,88,73,42,19
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.046,2.267,2.748,1.454,346
Utile netto: quota del gruppo,1.391,2.076,2.334,1.353,327
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
