Millenium,2023,2022,2021,2020,2019
Fatturato,21.195,21.793,20.846.556,17.706,15.491
Proventi dalle attività ordinarie,24.653,24.887,22.982.636,,
Risultato operativo,-5.529,379,1.939.805,,
Costo dell'indebitamento finanziario netto,457,212,197.856,,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-5.901,-146,1.773.624,926,1.697
Utile netto: quota del gruppo,-5.901,-146,1.794.570,940,1.697
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,Local GAAP,Local GAAP
