Millenium,2023,2022,2021
Fatturato,247.702.400,202.892.899,191.070.983
Acquisti consumati,206.964.966,169.653.248,164.612.349
Spese per il personale,7.236.018,5.620.765,4.472.167
Risultato d'esercizio,7.508.128,8.132.889,5.884.171
Imposte sugli utili,2.016.982,2.192.598,1.526.147
Utile netto,4.241.234,5.499.062,3.939.284
Utile netto: quota del gruppo,4.241.234,5.499.062,3.939.284
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
